"id";"code";"creation_date";"last_update_date";"creation_week_day";"last_update_week_day";"latitude";"longitude";"city";"hp";"gnv";"year";"mileage";"doors";"model";"brand";"vehicle_type";"fuel";"gear";"color";"steering";"first_price";"last_price";"olx_average_price";"fipe_price";"price_changes";"accessories"
766;"1311532152";2024-06-09 13:11:00.000;2024-07-10 21:17:42.000;domingo;quarta;-22.8546;-43.8189;Itaguaí;1.5;1;2015;94000.0;4;PEUGEOT 208 ACTIVE/ACTIVE PACK 1.5 FLEX 8V 5P;PEUGEOT;Hatch;Flex;Manual;Preto;Elétrica;34000.0;32000.0;35900;38157;2;Air bag, Alarme, Ar condicionado, Computador de bordo, Conexão USB, Interface bluetooth, Navegador GPS, Rodas de liga leve, Sensor de ré, Som, Trava elétrica, Vidro elétrico, Volante multifuncional
1189;"1311532399";2024-06-09 13:13:00.000;2024-07-03 22:27:20.000;domingo;quarta;-22.4874;-42.7115;Cachoeiras de Macacu;1.8;0;2013;0.0;2;FIAT STRADA ADV.1.8 16V DUALOGIC FLEX CD;FIAT;Pick-up;Flex;Semi-Automático;Vermelho;Hidráulica;47800.0;47800.0;49990;50213;1;Air bag, Ar condicionado, Computador de bordo, Rodas de liga leve, Som, Trava elétrica, Vidro elétrico
765;"1311534792";2024-06-09 13:27:00.000;2024-08-08 22:43:21.000;domingo;quinta;-22.4083;-42.9706;Teresópolis;1.6;1;2017;92000.0;4;FORD FIESTA SE 1.6 16V FLEX 5P;FORD;Hatch;Flex;Manual;Preto;Elétrica;47500.0;47500.0;46800;48072;1;Air bag, Alarme, Ar condicionado, Conexão USB, Sensor de ré, Som, Trava elétrica, Vidro elétrico
764;"1311534948";2024-06-09 13:30:00.000;2024-08-08 22:43:20.000;domingo;quinta;-22.8798;-43.4698;Rio de Janeiro;1.6;0;2014;81000.0;4;RENAULT DUSTER 1.6 HI-FLEX 16V MEC.;RENAULT;SUV;Flex;Manual;Verde;Hidráulica;46800.0;46800.0;46800;48993;1;Air bag, Alarme, Ar condicionado, Conexão USB, Rodas de liga leve, Som, Trava elétrica, Vidro elétrico
763;"1311536365";2024-06-09 13:39:00.000;2024-07-06 22:17:13.000;domingo;sábado;-22.7993;-43.365;São João de Meriti;1.8;1;2016;115000.0;4;FIAT PUNTO BLACKMOTION 1.8 FLEX 16V 5P.;FIAT;Hatch;Flex;Manual;Branco;Hidráulica;45000.0;50000.0;50900;50146;2;Air bag, Alarme, Ar condicionado, Câmera de ré, Computador de bordo, Conexão USB, Controle automático de velocidade, Interface bluetooth, Navegador GPS, Rodas de liga leve, Sensor de ré, Som, Trava elétrica, Vidro elétrico, Volante multifuncional
762;"1311539022";2024-06-09 13:51:00.000;2024-06-23 23:45:47.000;domingo;domingo;-22.6863;-43.506;Nova Iguaçu;1.6;1;2015;0.0;4;HYUNDAI HB20X PREMIUM 1.6 FLEX 16V AUT.;HYUNDAI;Hatch;Flex;Automático;Preto;Hidráulica;48000.0;48000.0;54890;55633;1;Air bag, Alarme, Ar condicionado, Bancos de couro, Computador de bordo, Conexão USB, Rodas de liga leve, Som, Trava elétrica, Vidro elétrico, Volante multifuncional
761;"1311539851";2024-06-09 13:56:00.000;2024-07-20 22:04:27.000;domingo;sábado;-22.8211;-43.427;Nilópolis;1.5;1;2013;100000.0;4;HONDA CITY SEDAN LX 1.5 FLEX 16V 4P AUT.;HONDA;Sedã;Flex;Automático;Cinza;Hidráulica;48500.0;48500.0;49900;50468;1;Air bag, Alarme, Ar condicionado, Bancos de couro, Câmera de ré, Computador de bordo, Conexão USB, Interface bluetooth, Navegador GPS, Rodas de liga leve, Sensor de ré, Som, Trava elétrica, Vidro elétrico
760;"1311541097";2024-06-09 13:58:00.000;2024-07-23 00:03:09.000;domingo;terça;-21.8997;-42.5376;Carmo;1.6;0;2015;80000.0;4;VOLKSWAGEN FOX COMFORTLINE 1.6 FLEX 8V 5P;VOLKSWAGEN;Hatch;Flex;Manual;Preto;Elétrica;45900.0;45900.0;41500;44403;1;Air bag, Alarme, Ar condicionado, Conexão USB, Rodas de liga leve, Sensor de ré, Som, Trava elétrica, Vidro elétrico, Volante multifuncional
759;"1311542571";2024-06-09 14:10:00.000;2024-08-08 22:43:20.000;domingo;quinta;-22.3822;-43.1591;Petrópolis;1.0;0;2017;64600.0;4;FORD KA 1.0 SE/SE PLUS TIVCT FLEX 5P;FORD;Hatch;Flex;Manual;Preto;Elétrica;41000.0;39000.0;37000;40293;2;Air bag, Ar condicionado, Conexão USB, Sensor de ré, Som, Trava elétrica, Vidro elétrico
758;"1311544272";2024-06-09 14:18:00.000;2024-07-25 21:49:58.000;domingo;quinta;-22.6863;-43.506;Nova Iguaçu;1.0;0;2016;79248.0;4;CHEVROLET ONIX HATCH LT 1.0 8V FLEXPOWER 5P MEC.;CHEVROLET;Hatch;Flex;Manual;Cinza;Mecânica;40000.0;40000.0;42000;43521;1;Ar condicionado, Som, Vidro elétrico
